1,A,elt,Z,S(2n),S(2n)_err,S(2p),S(2p)_err,Q(a),Q(a)_err,Q(2B-),Q(2B-)_err,Q(ep),Q(ep)_err,Q(B- n),Q(B- n)_err,N,N_to_Z_ratio,Vp,Vn,Shell_Closure,Parity,S(n),N_Z_excess
0,1, n,0,*,,*,,*,,*,,*,,*,,1,,-2,-1,-0.666666667,,0,1
,1,H,1,*,,*,,*,,*,,*,,*,,0,0,-1,-2,-0.666666667,,*,-1
0,2,H,1,*,,*,,*,,*,,*,,*,,1,1,-1,-1,-0.5,,2224.5662,0
0,3,H,1,8481.7963,0.0009,*,,*,,-13717#,2000#,*,,*,,2,2,-1,0,0,,6257.2301,1
,3,He,2,*,,7718.0413,0.0004,*,,*,,*,,*,,1,0.5,0,-1,0,,*,-1
,3,Li,3,*,,-6800#,2000#,*,,*,,8242#,2000#,*,,0,0,1,-2,2,,*,-3
0,4,H,1,4657.23,100,*,,*,,-702.0609,234.5208,*,,1618.5921,100,3,3,-1,1,,,-1600,2
,4,He,2,*,,*,,0,0,*,,*,,-34313#,2000#,2,1,0,0,,+,20577.6211,0
,4,Li,3,*,,2390.4751,212.132,*,,*,,3084.4079,212.132,*,,1,0.333333333,1,-1,,,11415#,-2
0,5,H,1,-1800.0001,89.4427,*,,*,,21213.5602,102.4695,*,,22396.2132,89.4427,4,4,-1,2,-2,,-200,3
,5,He,2,19842.621,20,*,,735,20,-25907#,2003#,*,,-22163.274,213.0728,3,1.5,0,1,0,,-735,1
,5,Li,3,33131#,2001#,17848.8662,50,1964.9999,50,*,,-20231.2132,111.8034,*,,2,0.666666667,1,0,0,,21715.6211,-1
,5,Be,4,*,,-7630#,2003#,*,,*,,27425#,2003#,*,,1,0.25,2,-1,-2,,*,-3
0,6,H,1,-1111.9594,273.0942,*,,*,,27788.8441,254.1268,*,,22573.1725,254.9126,5,5,-1,3,-1.5,,-911.9594,4
,6,He,2,975.4569,0.0532,*,,*,,-782.9387,5.448,*,,-2158.1098,50,4,2,0,2,0,+,1710.4569,2
,6,Li,3,27378.9456,212.132,25112.1907,100,-1473.7583,0.0015,-33233#,2003#,-26094.5377,89.4427,-31123#,2003#,3,1,1,1,0.5,,5663.3245,0
,6,Be,4,*,,-1372.1758,5.4478,*,,*,,-145.1712,20.7287,*,,2,0.5,2,0,0,+,26835#,-2
,6,B,5,*,,-7419#,2014#,*,,*,,28352#,2003#,*,,1,0.2,3,-1,-1.5,,*,-4
0,7,H,1,-100#,1000#,*,,*,,34228#,1004#,*,,23472#,1004#,6,6,-1,-2,-0.666666667,,812#,5
,7,He,2,1300.7426,21.381,*,,*,,10304.1299,7.5598,*,,3914.929,7.5595,5,2.5,0,3,0,,-409.7143,3
,7,Li,3,12914.4184,50,32563.2846,89.4427,-2467.6221,0.0042,-12769.4481,25.1503,-34257.591,254.1268,-11539.2472,5.4478,4,1.333333333,1,2,0.666666667,,7251.0939,1
,7,Be,4,37512#,2003#,10040.1785,20.0001,-1587.1371,0.0708,*,,-9112.0686,0.0884,-39622#,2003#,3,0.75,2,1,0.666666667,,10677.3542,-1
,7,B,5,*,,-1419.7238,55.9691,-3415#,2000#,*,,6300.7013,25.1503,*,,2,0.4,3,0,0,,27715#,-3
0,8,He,2,2125.0484,0.1034,*,,*,,26668.0112,0.0955,*,,8631.2602,0.0887,6,3,0,-2,0,+,2534.7627,4
,8,Li,3,9283.712,0.0474,35507.8621,254.1268,-6100.2403,100,-1975.7645,1.001,-35478#,1004#,-2894.5112,0.085,5,1.666666667,1,3,0.75,,2032.6182,2
,8,Be,4,29575.9983,5.4479,27228.3656,0.0639,91.8399,0.0354,-30122.5975,18.243,-28420.4269,7.5596,-30806.1992,25.1504,4,1,2,2,1,+,18898.644,0
,8,B,5,40541#,2003#,5743.2536,0.9999,-4826.5368,212.1344,*,,725.4933,0.9999,*,,3,0.6,3,1,0.75,,12826.3018,-2
,8,C,6,*,,-2111.2932,19.039,*,,*,,12006.3005,18.2431,*,,2,0.333333333,-2,0,0,+,*,-4
0,9,He,2,1279.9373,47.4229,*,,*,,29587.3755,46.8165,*,,11918.7038,46.8165,7,3.5,0,-1,0,,-1254.8254,5
,9,Li,3,6094.8357,0.1864,38758#,1004#,-10362.4579,89.4429,12538.4192,0.9217,*,,11941.9153,0.1896,6,2,1,-2,2,,4062.2175,3
,9,Be,4,20563.1828,0.104,29302.6187,7.5599,-2307.6989,20.0001,-17562.5203,2.138,-27550.203,0.117,-19644.4361,1.0028,5,1.25,2,3,1.2,,1664.5388,1
