trial=3/1000 pct=0.30% elapsed_s=3.4 eta_s=1139.6 best=6.451539850234985
trial=4/1000 pct=0.40% elapsed_s=9.9 eta_s=2472.8 best=6.196895599365234
trial=5/1000 pct=0.50% elapsed_s=11.4 eta_s=2264.5 best=1.232824045419693
trial=6/1000 pct=0.60% elapsed_s=14.6 eta_s=2414.6 best=1.232824045419693
trial=7/1000 pct=0.70% elapsed_s=16.4 eta_s=2326.4 best=1.232824045419693
trial=8/1000 pct=0.80% elapsed_s=18.8 eta_s=2332.9 best=1.232824045419693
trial=9/1000 pct=0.90% elapsed_s=20.3 eta_s=2236.8 best=1.067249697446823
trial=10/1000 pct=1.00% elapsed_s=30.6 eta_s=3026.4 best=1.067249697446823
trial=11/1000 pct=1.10% elapsed_s=32.3 eta_s=2901.0 best=1.067249697446823
trial=12/1000 pct=1.20% elapsed_s=33.3 eta_s=2742.3 best=1.067249697446823
trial=13/1000 pct=1.30% elapsed_s=37.7 eta_s=2864.2 best=1.0416019558906555
trial=14/1000 pct=1.40% elapsed_s=39.1 eta_s=2753.3 best=1.0416019558906555
trial=15/1000 pct=1.50% elapsed_s=39.4 eta_s=2588.6 best=1.0416019558906555
trial=16/1000 pct=1.60% elapsed_s=41.9 eta_s=2574.9 best=1.0114659130573274
trial=17/1000 pct=1.70% elapsed_s=42.9 eta_s=2481.6 best=1.0001843988895416
trial=18/1000 pct=1.80% elapsed_s=43.9 eta_s=2393.2 best=0.9888921558856965
trial=19/1000 pct=1.90% elapsed_s=45.9 eta_s=2370.5 best=0.9888921558856965
trial=20/1000 pct=2.00% elapsed_s=48.6 eta_s=2379.1 best=0.9888921558856965
trial=21/1000 pct=2.10% elapsed_s=51.8 eta_s=2415.2 best=0.9888921558856965
trial=22/1000 pct=2.20% elapsed_s=54.7 eta_s=2433.8 best=0.9888921558856965
trial=23/1000 pct=2.30% elapsed_s=59.1 eta_s=2509.9 best=0.9888921558856965
trial=24/1000 pct=2.40% elapsed_s=63.8 eta_s=2594.7 best=0.9888921558856965
trial=25/1000 pct=2.50% elapsed_s=64.6 eta_s=2518.3 best=0.9888921558856965
