number,value,user_attrs_cv_mae_mean,user_attrs_cv_rmse_std,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample
0,0.8433769404888153,0.6320465743541718,0.09761777769822054,0.811761790099545,0.41602051659250905,0.07598470700298762,9,3.438139913044864,852,0.003081229929426648,0.001696418990479627,0.7431144859832419
1,1.5292223811149597,1.1725157380104065,0.15964082688429002,0.6785795134513739,2.4309476708607427,0.002044653633229445,8,9.88716103938135,1719,0.0389215646848196,1.3734894738882943,0.6473765593983859
2,1.3157866835594176,1.0570528090000153,0.1048133651676699,0.996892154900851,8.600306172607144,0.027680559852211177,5,8.994546914225573,1570,0.18315400466971488,4.27740312903255,0.5780428157875613
3,2.22522714138031,1.6729469060897828,0.17044305203363963,0.7145965981902886,4.693596785017578,0.0021119079004129557,5,3.8794927762433495,1098,4.822608837398144,0.0034269842342100638,0.9659436051225991
4,3.5463491439819337,2.6665668725967406,0.2634722491693422,0.5684249648948496,2.9961829946253147,0.0012229264089074457,6,7.151866951629982,2820,0.004087907578213274,4.765916865151176,0.8874109061181563
5,3.587531042098999,2.695141005516052,0.2501379946282953,0.5940181337128448,9.5194812713451,0.0017065401316458766,10,2.0818559433460226,1072,0.6222103675705535,0.4903035263601885,0.5595020074756278
6,1.436470377445221,1.091150987148285,0.11561851710312088,0.5015739130568294,9.684942858753484,0.07265830620541232,3,0.39286928043170133,2946,0.022210915727047406,0.039877521741309124,0.5252824837923378
7,1.1815897345542907,0.971796303987503,0.08451159206250393,0.747430172426619,2.937014417038407,0.012690462356991958,6,4.831654436507401,1386,0.005458376056035615,0.0015981312105716584,0.8002705809269055
8,1.4597532153129578,1.1314375400543213,0.11877366138758709,0.8697455460972571,7.669289395797058,0.01482649541955273,3,0.8920569253990185,2303,6.762062457193667,8.742135743530955,0.9131385317718785
9,1.343002450466156,1.0830846965312957,0.10609204044089024,0.867531283833471,8.974442032111137,0.008920081587460904,8,2.48604279191188,2596,0.17865901285176375,2.7168911206344557,0.8067110624409923
10,1.4577822923660277,1.0995721340179443,0.12265887969732224,0.5341128734305546,5.290905951488925,0.10187267776646741,11,1.3315719790341563,1853,0.005417102873191798,0.013877314031576694,0.7129540469508393
11,3.240474796295166,2.4565046548843386,0.24410459803678114,0.4395666081092528,5.284502703415668,0.019361005273706544,8,4.077408780575855,915,0.2137334383367404,0.05772807811919727,0.5930706431687458
12,1.7050431370735168,1.3346317529678344,0.14575465413289945,0.40300085293298715,0.017704437990313515,0.1884113457036596,12,6.5765139020439936,520,0.0010666562775730035,0.016985528112957653,0.7086757097155357
13,0.7920420587062835,0.5436873257160186,0.10267417570401874,0.7895643665152239,0.23344207041082354,0.23734297989987332,9,5.698915523816765,482,0.0024725391834749294,0.0013958744148485852,0.8063153112051098
14,0.8189042806625366,0.5917894184589386,0.09660366859866153,0.7960937460522622,0.35917296348970185,0.17110149219911694,10,5.735957024683738,529,0.0011232505197530036,0.0017310270500187326,0.7726053479575958
15,0.8265136897563934,0.5685570180416107,0.11824668530472057,0.8440097029921172,0.3394866122122552,0.27700805691952146,10,6.498135526499215,419,0.0010900329616499727,0.005706592122332963,0.7435317482962126
16,0.8704902231693268,0.6131513237953186,0.10987710314720861,0.9745519153639092,0.3925790061148532,0.297947277452385,12,6.5239617391334335,414,0.001010584426184574,0.007916982488659758,0.8275586877731271
17,0.9933540225028992,0.753915935754776,0.08768124070802939,0.9742555948018063,1.2961379191881597,0.2665811521496532,12,6.45917099856952,432,0.001204451292780746,0.015905942713217304,0.8379187189657311
18,1.0712785840034484,0.8653120875358582,0.08762258335402277,0.9838911348721645,1.9437995939579533,0.04091866392613788,12,5.653744458671139,563,0.02219775822123346,0.2665879753183994,0.8304790340753281
19,2.957439732551575,2.281190347671509,0.22670205415872285,0.6472509488079613,1.6680442773356334,0.04319381864424897,10,5.37633658656115,710,0.015123290166378197,0.36654174124745587,0.6681799938757778
20,2.8417652368545534,2.1975727319717406,0.22354515658930152,0.6547792817119271,1.4238938662498735,0.04560024702681797,10,7.896396393172943,749,0.020808806869504662,0.18906695396506548,0.6372643931917181
21,1.2895496606826782,0.9483398139476776,0.1524119406774003,0.6332730939417643,3.6336767237888905,0.12561386312437348,10,8.075654637949418,2074,1.0054019781430437,0.001010510952868066,0.6443874394570506
22,1.192349112033844,0.96607306599617,0.10071104340444169,0.779375850567132,3.8674512748018635,0.14336392312842622,9,7.733558073960211,2105,1.4722769323276281,0.001105342188955507,0.8945299850708879
23,1.0918724060058593,0.8803877830505371,0.08600085641018833,0.7949019744049827,3.618095849134624,0.1510619568210998,9,7.788851368582678,1197,0.0022190725499309748,0.001089412560881667,0.7694270531120782
24,0.8947733461856842,0.680137550830841,0.09854157690059435,0.8714456884200245,0.7376854868324316,0.12318375097044729,9,5.020828258438643,687,0.009161436824378472,0.00431956167982905,0.7576689175119644
25,0.8925682067871094,0.6745578706264496,0.08894868935997939,0.8836643800630111,0.5034346648787803,0.19700109025963036,9,5.082261108582789,756,0.008403086650747021,0.004220620509484741,0.8924172279485345
26,0.8912509977817535,0.669325441122055,0.08359298324752111,0.8807704851327838,0.828111402205974,0.20141615280670794,11,4.7884988671556785,670,0.007072443287880823,0.004090696596237244,0.7591090622412756
27,1.2872110724449157,1.0511920273303985,0.09759855481042143,0.843100082086091,6.540801710764788,0.004261980138971837,11,5.938106512607682,1330,0.002418624056755986,0.003264270577665956,0.7055626732083295
28,1.289841401576996,1.0500928699970244,0.10470920972884777,0.9176286687762685,6.442509429921965,0.00468609864932168,11,6.108074242676809,1318,0.00203995886337463,0.0030654264086743058,0.7137833203247848
29,1.0331117630004882,0.8337270021438599,0.08356882290598405,0.7304164152552064,2.2881598091803226,0.07254945459853855,7,5.856050331016151,1367,0.002076979075543972,0.002645471006580377,0.7063831144072615
30,1.3616090297698975,1.0917699217796326,0.10458202350025987,0.8308703883898971,6.893379181598092,0.004621172645908274,11,6.929465201145911,985,0.0019850316613887367,0.007577152512104537,0.9934887498044138
31,0.9712703466415405,0.7708069682121277,0.08772109181955282,0.8225322437911662,0.9767320305615295,0.08762983187503298,7,3.3036621698184225,952,0.002991032867820846,0.00883745792624256,0.8590401803864146
32,0.7179256081581116,0.4800203710794449,0.09840650491515324,0.809267745897448,0.06606873015904052,0.09431424706132924,7,3.4958494118543886,954,0.054355435311410426,0.00789349389738835,0.7965352397711445
33,0.7572454690933228,0.49441743195056914,0.11872411416729427,0.7741622729543794,0.11826187971896526,0.2978830774433384,8,3.6019910772317685,897,0.037824346596463825,0.001906266301001802,0.7344753227513681
34,0.8036762952804566,0.5561655253171921,0.13173007755341656,0.7598176713542704,0.27964109458530195,0.27312175488670487,8,9.688993459662283,572,0.003785841853019333,0.0020076129050182853,0.7837724913707987
35,0.8150903165340424,0.5577464997768402,0.12001667046737995,0.7500584172217302,0.28042249156408583,0.2940086690261289,7,4.172402253847773,558,0.06517662053586945,0.0019783939681301027,0.7865619831647167
36,0.8329961359500885,0.6088537871837616,0.1153597069968667,0.7648337463031014,0.03448057783015429,0.06243585219483639,7,8.587914254636976,873,0.07125607653932647,0.0019251717920066936,0.7782324720035626
37,0.685396921634674,0.400184354186058,0.1550501077618476,0.7591229935037341,0.023683992762488004,0.2984856692156384,7,9.403015971224308,1597,0.05934026979058412,0.0019468055767138167,0.7850186188686578
38,1.0923348128795625,0.8769184172153472,0.08279914399475923,0.6814844854003501,2.1336522757731995,0.20907736674543953,6,9.232116368386908,845,0.05475367148748261,0.020485688352872514,0.8533794154826437
39,0.9717318713665009,0.7804688453674317,0.08311788179973581,0.7094623602824499,1.4549564206846672,0.05929869478531437,8,3.1362663027855513,1556,0.1039812905339046,0.034214098874054306,0.7355937600103845
40,1.0538564026355743,0.8511119723320008,0.08463679526220635,0.7044651314745116,2.7550197546740365,0.12163198919144176,8,3.1351023970714254,1581,0.14800741988876792,0.03487120581618927,0.734699735464862
41,1.1303426384925843,0.9075562298297882,0.11420914109739258,0.6930599341394732,2.709448510413902,0.10582104061577258,5,9.76066828951616,1184,0.040312421113513255,0.07965461333286454,0.6824894935342516
42,1.1920843362808227,0.9642292320728302,0.09526693650860363,0.9185548645701946,2.7347977316572303,0.10269344425489915,5,2.8603250088632715,1135,0.37914089154607633,0.011134762416184022,0.9298953716192965
43,0.9092712283134461,0.6836341500282288,0.12753296959334767,0.736864243985784,0.8104113866492482,0.21711926629824096,6,9.84613197413492,1228,0.037281078461002974,0.0022682235639524258,0.8064702400562255
44,0.9237784385681153,0.7057437181472779,0.091840049061961,0.7341698248050774,0.9653932930735165,0.2238787407492083,6,9.447659157960917,1057,0.03952073170915268,0.0022980022850449273,0.797044214553175
45,0.9338202714920044,0.708275043964386,0.10723810879694831,0.7384940447455394,0.836434163569645,0.19519493779139405,6,9.894610627505049,1037,0.011216207925202261,0.0023121154317490957,0.8065586508202397
46,0.9120452105998993,0.7109940946102142,0.0773821606384606,0.7720958742223595,1.0909188490293276,0.23462592373004562,7,2.2834001419875345,1033,0.012398814367799271,0.0014304449352309915,0.8060715411337506
47,1.0187347054481506,0.8178186237812042,0.08479214263494811,0.7881462589502994,1.1245218887475568,0.024778251223424055,8,3.80959576549247,1827,0.013588046415801424,0.0013892415480083675,0.8687499224284867
48,0.7189747095108032,0.4604968219995499,0.14825003352590146,0.7972479586972642,0.01448661531412665,0.2995059472468397,8,2.1388399277471266,1741,0.004156536999907729,0.001429388835344512,0.8676835653977566
49,0.7704487621784211,0.5282523036003113,0.12350098472557956,0.7992947907294187,0.02768747785292186,0.15521375397419152,8,1.6932623162137195,2437,0.0040218366612761155,0.005905347450519994,0.865858065867667
50,1.0222032904624938,0.7316495060920716,0.12704047844933572,0.5969571892892183,1.6975684467042111,0.15693722632221585,4,1.5564399239764795,2580,0.003984336647531386,0.00578195250681712,0.8312483765824862
51,1.0573280572891235,0.8426930487155915,0.09866121856584262,0.8089793309350013,1.7980065147339042,0.16010716796694993,9,1.9154121694030577,1540,0.1017361695338071,0.005201269407108098,0.9248884795504608
52,1.1206827223300935,0.9089920461177826,0.09899435394147645,0.9191578458483575,1.8491435019422258,0.15974624918141325,4,1.5878709551735604,2550,0.3395031646100128,0.005211692811257307,0.9381039029156797
53,0.7300127625465394,0.4949492007493973,0.11604212723703637,0.8148767155135695,0.059767062198131146,0.15454257943862126,7,1.7600653626664406,2586,0.005599526817419481,0.02386730477905672,0.8309798440457731
54,0.8788935363292694,0.5763417392969131,0.1716713461614668,0.8074648950567151,0.011111006495315337,0.2980180148547376,7,0.6130093138638306,2417,0.005587266654870933,0.006766530855562148,0.8353169121136859
55,0.8806090474128723,0.5921358704566956,0.13104234129316875,0.8136740723746696,0.18036199519376672,0.2966514624113838,7,0.27390827335543766,2419,0.005780409094617864,0.6516923205244235,0.8712262967296629
56,1.5225987672805785,1.1761469841003418,0.11600921551163972,0.849403774616364,0.5621785539313695,0.0010352912896721205,7,0.028956941318604823,2779,0.005658163627552537,0.00970583512444158,0.8732502415632526
57,1.0353547155857086,0.7970721304416657,0.13409211619673844,0.8435868401165456,0.6000769914604995,0.08579685031861739,8,0.8733762370538569,2985,0.021105200109979436,0.009028944396187923,0.9597618045963525
58,0.9836360514163971,0.7459271848201752,0.14324798007459355,0.8588920183052274,0.7077702325005129,0.08593521972898936,8,0.9175040903018505,2911,0.01966504256131797,0.023703333531993324,0.8855253424801235
59,0.8692974150180817,0.6800212264060974,0.09119850544636988,0.8976771603178177,1.385066273643122,0.13177033471741306,8,2.811920945145159,2801,0.25635041658550933,0.02257019596678509,0.5131344915909395
60,0.9771466851234436,0.7720423817634583,0.0907817472446593,0.8982522387469198,1.4042686447652761,0.1314719061973698,8,2.6974502785925543,2107,0.030289135366958146,0.011340986012911579,0.8472317237005235
61,0.6805083245038986,0.40072302222251893,0.1349503875173318,0.7854780482833509,0.024429889682912258,0.1770178710058014,7,3.7969444354675694,2762,0.0015570251839164412,0.0032827525534631107,0.8195063183883771
62,1.7674296140670775,1.3391082286834717,0.13812861627337278,0.7749443572753592,8.537484254800775,0.0010163007984473984,7,2.172474735935628,2221,0.0014767042377952157,0.1534703726995364,0.9088389037902229
63,0.7954543232917786,0.561143285036087,0.11449960247088765,0.7786451774257361,0.4327742947944248,0.18356953207919022,7,4.51691301307403,2684,0.0015225384626508286,0.0033641552853181243,0.8197890057269884
64,0.7364564359188079,0.46809919476509093,0.10845356000062963,0.7791799346589179,0.09291393284520683,0.24478295208971013,7,3.7486358479619724,2733,0.0014294993924535446,0.003716479499948645,0.8209582559803168
65,0.700461882352829,0.3943209797143936,0.12676991293862105,0.7227901733695986,0.007950027669657193,0.23613602046999943,6,3.7926707132185387,1927,0.0030470181633041617,0.054404954959640595,0.8217983574808883
66,0.7254455626010895,0.44498796164989474,0.13258747329999404,0.8209954109851766,0.06805335037551744,0.241780159300818,6,3.8579982143658276,1929,0.0038608405122565535,0.0014550380536607107,0.817234312063052
67,1.1228489637374879,0.9051975011825562,0.07115707643442251,0.7193811522422664,4.4127278929287055,0.24080899699990904,6,3.8895067497894997,2714,0.13929396724534146,0.00151808783331099,0.7545353293518415
68,1.2010321378707887,0.9696881771087646,0.07117540253042612,0.82379093837001,4.262514017034641,0.24581742950022226,6,4.219674051061424,1940,2.562125786535022,0.001405404660667473,0.8204086724221971
69,0.8337606608867645,0.5891541600227356,0.09411009464244523,0.825881599969135,0.47901123103509696,0.23637607057260687,6,4.737935291742084,1888,0.0027797449604126385,0.001014661337166983,0.8183720554239121
70,1.0665479123592376,0.7665656328201294,0.12587206914815385,0.6626738017369542,0.5126763148368789,0.18355247297791022,6,4.483261288291212,1937,3.083297907429525,0.04873456238446174,0.8438286538921471
71,0.9392298579216003,0.6531452238559723,0.1255993924260519,0.6607846679057283,0.5202350858363554,0.1781286164689188,5,5.364150837220313,1783,0.0030044005098819027,0.05078109332425341,0.8466625911018067
72,1.027012723684311,0.7293781042098999,0.12714842723482167,0.6554593333175407,1.1981035587370217,0.1939771390940768,5,3.4179176531164566,1717,0.0029990893464930148,0.002668438074310059,0.8440517000398682
73,1.0500070750713348,0.8613326966762542,0.07512219219546937,0.7483775493809968,0.011969379965060853,0.00804903507312933,7,3.559842269692015,1666,0.0016456248074866106,0.08241621769249437,0.7952719168255175
74,0.9153747379779815,0.7154754638671875,0.08041201371611034,0.7906433158684286,1.0910013605972413,0.11293017966318909,7,3.603151671752375,2890,0.0015096423820732281,0.09155025479890813,0.7889826790975933
75,0.8410321593284606,0.6309730589389801,0.08139415843410996,0.756572329043313,0.03022940593646853,0.012539104875484819,7,3.6307456906112714,2904,0.001515154521864861,0.06725264980860221,0.7974038385626405
76,0.7366150081157684,0.5273862183094025,0.09174747298734653,0.75411550027096,0.03480470992772559,0.035189565431238225,6,2.500222657465987,1627,0.008664902390494758,0.0034175155050127004,0.7699651393644613
77,0.8029517650604248,0.6015137910842896,0.08941511000995425,0.8359882353101487,0.289194994700229,0.03653251675620311,6,2.4212284289099397,2017,0.007719790992402417,0.004098999481660767,0.7755662127494167
