number,value,user_attrs_cv_mae_mean,user_attrs_cv_rmse_std,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample
0,0.9898679316043854,0.8095710396766662,0.09286593114101599,0.6550826251505378,0.6312134425817761,0.02483138566215934,11,3.0288654677968307,2065,0.3798826662061839,9.255128667015434,0.5274753953994702
1,1.296292006969452,1.1015565514564514,0.10331698978902709,0.9688169920369198,0.4915302194431004,0.002202168619710599,11,9.457136115263582,1888,1.6617289117226237,0.0012527052229609368,0.9139510273949245
2,1.281423842906952,1.0739793658256531,0.08836928717752096,0.8525558037894438,4.002703429503449,0.004160425942386164,5,1.016947459616112,1452,0.02292341700039388,6.0566881072256304,0.9999837082914365
3,1.284623908996582,1.0782554864883422,0.10030081887791702,0.8680332260365524,6.781319803874654,0.02454618717645932,9,8.994544164292837,986,0.01731969526429006,0.016495674926315377,0.9891875277287958
4,0.9423661768436432,0.6932611286640167,0.13338588327757833,0.9320804882008309,0.43185151725225857,0.20734269599686966,9,7.018629337773455,822,0.00371874298168958,7.89330421215706,0.5984583507059232
5,1.2083234667778016,1.0212826251983642,0.08052999243802983,0.509893563923572,2.7702304091916083,0.07673556271663248,6,0.6412829298691503,2389,0.009355146587615291,0.0346450829558904,0.9466940753692952
6,1.3758519887924194,1.1278356790542603,0.09563059897921233,0.6501658377911528,5.452949276887582,0.001108963916849873,6,2.7968904381438398,2051,0.0011689638459861738,0.4438525367886656,0.7593765106699446
7,1.3089128136634827,1.1031237721443177,0.0940919468398664,0.9136214268447508,4.7400663997613055,0.0012005735948457247,7,6.631571397145681,2496,0.004203930719960207,0.0025423962276522505,0.617639284059563
8,1.1328887939453125,0.9817748367786407,0.07697771519521344,0.4367107397812462,4.524603080069161,0.040456328744763,6,1.9031971172900197,2566,1.7315991829903163,0.19383908541747855,0.5324408298013128
9,1.213392448425293,1.0361321985721588,0.07604258448703469,0.5210551499505586,9.316781108953474,0.06521565469195023,5,6.823108129365757,2688,1.252935591534584,0.3898580333278152,0.5278278355611767
10,1.2532627820968627,1.074229896068573,0.08764152912969207,0.6005646980212503,3.0989834453624288,0.0020031283350536457,6,6.011647122930968,2479,0.21817480857275137,0.04448895273785434,0.8892105564929851
11,1.0156524240970612,0.8359793066978455,0.09954666737363127,0.9013287274643654,1.2516585649200174,0.06436794375525609,7,5.9956444526508115,2043,1.4853700042332145,5.180035105375194,0.5894701238053577
12,1.0197697937488557,0.8282973945140839,0.10306266732424782,0.7689618578547113,2.1253044321868035,0.29026826412679874,3,4.817804376259005,452,0.08481929770144032,0.7837528487812715,0.6968497714463624
13,1.1508249282836913,0.9772671520709991,0.08180443515133137,0.6698603156509696,0.02467815290915193,0.008229574935133675,12,4.010775483462307,1357,0.16478924567886752,8.174034689596969,0.632349298994759
14,1.162441372871399,0.9967892289161682,0.08177286168888669,0.6475638586326489,0.311533180127503,0.008470212121087147,12,3.6296171274630726,1332,0.21798849906228762,8.905976317086031,0.7090444291931444
15,1.083472192287445,0.9062102317810059,0.0928813267938829,0.7549262230076733,0.8533991323739172,0.00945932250159328,12,3.7867795271622073,1369,0.21903850771964772,1.9315967603870534,0.6587552129077704
16,1.077507084608078,0.8829940378665924,0.1064561518047587,0.7189381883048277,0.05373955184021573,0.21970208962526258,10,7.986223863182385,455,7.576978282153202,9.252063581531475,0.7762078739226758
17,1.2163740277290345,1.0397106051445006,0.08420683812257444,0.7632759753145022,1.849680061385967,0.18209733616000318,10,8.437501232345815,637,9.741675432496393,1.6612643814010082,0.7652433303485089
