A,elt,Z,S(2n),S(2n)_err,S(2p),S(2p)_err,Q(a),Q(a)_err,Q(2B-),Q(2B-)_err,Q(ep),Q(ep)_err,Q(B- n),Q(B- n)_err,N,N_to_Z_ratio,Vp,Vn,Shell_Closure,Parity,S(n),N_Z_excess,S(2n)_MeV
175,Hg,80,21451.0,216.0,610.6265,102.9478,7072.2101,4.6585,,,10059.1937,81.7409,,,95,1.1875,-2,13,0,,9399.7437,15,21.451
128,I,53,15970.1698,2.7403,15922.8368,32.0196,-2543.8773,3.5659,-1806.2575,6.482,-8328.7073,6.0638,-7488.465,2.0448,75,1.4150943396226414,3,-7,0,,6826.1315,22,15.970169799999999
58,Sc,21,6106.3567,321.7689,38038.0,629.0,-12754.0,442.0,24951.0146,212.8148,-36898.0,629.0,10850.9613,280.1708,37,1.7619047619047619,1,9,0,,2171.2344,16,6.1063567
280,Ds,110,12073.0,905.0,7478.0,805.0,9710.0,200.0,-5334.0,948.0,-3468.0,958.0,-9472.0,859.0,170,1.5454545454545454,-16,44,0,,6775.0,60,12.073
135,Nd,60,20023.8757,50.3494,8373.3386,25.1659,1069.9125,37.9718,-13356.3976,155.8066,1330.3075,27.955,-17521.0294,46.0751,75,1.25,10,-7,0,,8638.4951,15,20.0238757
63,Mn,25,11287.5671,4.3938,31287.8814,234.9494,-11701.3594,137.451,14964.4923,18.9451,-28962.8681,264.3132,3919.6779,4.6575,38,1.52,-3,10,0,,6434.4141,13,11.2875671
74,Rb,37,29729.0,500.0,7432.2077,3.1958,-2915.3049,15.2082,,,4440.7995,7.3897,-28037.0,401.0,37,1.0,9,9,0,,13975.7229,0,29.729
84,Zn,30,5659.0,400.0,35688.0,894.0,-11015.0,721.0,26318.0,400.0,,,9356.0,400.0,54,1.8,2,4,0,,3611.0,24,5.659
172,Hf,72,16291.0073,37.1167,10216.2449,24.4282,2752.7192,24.4283,-7305.0404,37.1167,-4384.3845,24.4282,-12753.2711,37.1167,100,1.3888888888888888,-10,18,0,,9042.1985,28,16.2910073
161,Tb,65,14071.8321,0.5607,15996.334,4.4247,-427.5592,4.2988,-265.4837,2.3948,-11257.2999,1.5169,-5860.6704,1.2022,96,1.476923076923077,15,14,0,,7696.622,31,14.0718321
216,Tl,81,7737.0,358.0,,,,,8996.0,300.0,,,2457.0,305.0,135,1.6666666666666667,-1,9,0,,3231.0,54,7.737
219,Ra,88,12638.3192,9.6681,8842.6556,7.8482,8137.9268,3.0559,-5068.9273,56.8465,-3112.5318,7.0223,-9528.3104,57.9952,131,1.4886363636363635,6,5,0,,5323.0217,43,12.6383192
174,Ho,67,10529.0,358.0,20757.0,583.0,-1585.0,424.0,7995.0,303.0,-16649.0,583.0,-287.0,358.0,107,1.5970149253731343,-15,-19,0,,4590.0,40,10.529
19,B,5,88.7073,563.6171,,,,,43913.9955,525.6187,,,26779.6669,526.2185,14,2.8,3,6,0,,93.7073,9,0.0887073
241,U,92,10518.0,196.0,14881.0,445.0,3817.0,196.0,3242.0,196.0,,,-4191.0,196.0,149,1.6195652173913044,10,23,0,,4590.0,57,10.518
229,Pa,91,13076.1586,7.7918,10530.6088,2.9642,5834.6274,4.2622,-3904.5293,101.2269,-6286.7768,3.6022,-7394.4707,13.846,138,1.5164835164835164,9,12,0,,7098.0687,47,13.076158600000001
176,Pt,78,19758.9471,16.3854,3516.4773,16.3207,5884.8064,2.0421,-17149.2799,16.8886,3882.4709,17.3217,-19601.5502,40.6043,98,1.2564102564102564,-4,16,0,,11296.5522,20,19.7589471
55,Cr,24,15965.3422,0.2118,22806.8328,2.8966,-7802.2745,0.5242,2371.0979,0.3619,-16655.4824,15.837,-7623.3952,1.0222,31,1.2916666666666667,4,3,0,,6246.2627,7,15.965342199999998
175,Lu,71,14427.3004,1.0001,13487.5533,4.5626,1619.677,1.5494,-2757.0257,27.9709,-8590.1288,44.7376,-7392.4134,1.9242,104,1.4647887323943662,-11,22,0,,7666.7045,33,14.4273004
105,Cd,48,19824.8593,2.2837,11454.8114,1.6456,-1326.6206,4.7948,-10995.848,4.208,-2227.6976,1.9266,-16222.4929,5.9406,57,1.1875,-2,7,0,,8436.7762,9,19.8248593
