A,elt,Z,S(2n),S(2n)_err,S(2p),S(2p)_err,Q(a),Q(a)_err,Q(2B-),Q(2B-)_err,Q(ep),Q(ep)_err,Q(B- n),Q(B- n)_err,N,N_to_Z_ratio,Vp,Vn,Shell_Closure,Parity,S(n),N_Z_excess,S(n)_MeV
81,Cu,29,5645.0,318.0,,,-12425.0,671.0,25718.0,300.0,,,11667.0,300.0,52,1.793103448275862,1,2,0,,3302.0,23,3.302
236,Pa,91,11147.5511,14.5599,14085.1817,19.76,3754.616,19.1127,1955.8613,52.3214,-9312.1763,19.76,-3656.1455,14.0169,145,1.5934065934065933,9,19,0,,5026.2638,54,5.0262638
149,Ba,56,8709.22,19.9072,25009.0,200.0,-3762.1983,11.4574,13839.301,10.5506,-21470.0,300.0,1806.8043,19.63,93,1.6607142857142858,6,11,0,,3357.0264,37,3.3570264
91,Nb,41,22154.909,23.81,13504.7675,2.9453,-6044.5564,3.1356,-10651.3702,3.7607,-7430.0864,2.9471,-14536.8314,4.5331,50,1.2195121951219512,-9,0,1,,12047.8149,9,12.047814899999999
177,Ir,77,18795.5498,23.3202,5337.0549,34.2253,5081.5294,34.2253,-14501.6883,22.1316,1726.4946,34.2253,-15184.8241,23.496,100,1.2987012987012987,-5,18,0,,10236.82,23,10.23682
122,Cd,48,12797.6551,4.3781,24910.7222,3.249,-7648.9424,3.3918,9327.5686,3.3582,-21719.0179,4.0657,-2849.1093,27.5151,74,1.5416666666666667,-2,-8,0,,7609.8657,26,7.6098657
276,Mt,109,12080.0,652.0,7028.0,786.0,10099.9999,10.0,-6074.0,824.0,-1757.0,802.0,-8425.0,632.0,167,1.5321100917431192,-17,41,0,,5525.0,58,5.525
258,Md,101,11908.0,124.0,10072.0,100.0,7271.2827,1.857,-3092.0,102.0,-5002.0,411.0,-6628.0325,6.9596,157,1.5544554455445545,19,31,0,,5373.4402,56,5.3734402
133,Cd,48,5071.0,201.0,32978.0,361.0,-8685.0,632.0,26734.0,200.0,,,10200.0,209.0,85,1.7708333333333333,-2,3,0,,1746.0,37,1.746
134,Sn,50,6029.8413,3.7328,30546.2715,60.151,-7741.077,22.5791,16099.9936,4.192,-29583.0,200.0,4418.4363,4.4513,84,1.68,0,2,1,,3631.1864,34,3.6311864000000003
63,Ni,28,17433.4986,0.3102,21170.3309,2.6428,-7272.8498,0.4299,-3299.4624,1.545,-13923.806,2.8268,-10796.6664,0.4787,35,1.25,0,7,1,,6837.7698,7,6.8377698
76,Y,39,,,912.0,300.0,-2345.0,583.0,,,11680.0,300.0,,,37,0.9487179487179487,11,9,0,,14501.0,-2,14.501
228,Pu,94,15664.0,202.0,5798.9307,25.7955,7940.2027,17.6755,,,-226.1957,24.8048,-14143.0,202.0,134,1.425531914893617,12,8,0,,8733.0,40,8.733
100,Rb,37,8039.3678,20.7578,32794.0,400.0,-10481.0,300.0,21055.3569,17.2395,,,8181.3246,13.9528,63,1.7027027027027026,9,13,0,,3216.0521,26,3.2160520999999997
103,Tc,43,14401.9637,25.9271,20290.3745,10.4925,-4693.4923,15.4992,3427.7852,10.0654,-15594.6265,10.1264,-3568.8036,9.8088,60,1.3953488372093024,-7,10,0,,8102.317,17,8.102317
196,Rn,86,19892.0908,21.7809,1598.1561,19.0668,7616.7366,9.1879,,,5802.8525,15.2975,,,110,1.2790697674418605,4,-16,0,,11146.4341,24,11.1464341
203,Hg,80,13749.3098,1.581,16106.4395,50.1226,-305.4191,2.6886,-482.7203,6.5749,-9866.0461,25.2031,-7360.1019,2.0617,123,1.5375,-2,-3,0,,5995.2113,43,5.9952113
88,Ge,32,6262.0,593.0,34036.0,640.0,-10114.0,565.0,24365.0,400.0,,,8027.0,400.0,56,1.75,4,6,0,,4001.0,24,4.001
182,Hf,72,12412.7962,6.0,15907.0,300.0,1202.5871,9.0231,2196.5078,6.2018,-12250.0,298.0,-5681.8901,6.3023,110,1.5277777777777777,-10,-16,0,,6717.9963,38,6.717996299999999
150,Tm,69,23868.0,196.0,3078.0,213.0,2322.0,196.0,-21720.0,358.0,7866.0,196.0,-21232.0,358.0,81,1.173913043478261,-13,-1,0,,10622.0,12,10.622
172,Au,79,21757.0,209.0,714.0,116.0,6923.3037,10.2385,,,9805.0483,68.0686,-20728.0,312.0,93,1.1772151898734178,-3,11,0,,9827.0255,14,9.8270255
163,Gd,64,12025.0851,1.702,19294.4895,6.8635,-1605.6573,5.9869,4992.2669,1.0561,-14298.5085,3.6123,-3580.3611,2.1987,99,1.546875,14,17,0,,5179.1889,35,5.1791889
248,Bk,97,11978.4954,78.15,11441.0,53.0,5827.0015,50.0752,-2168.0,72.0,-6311.0,112.0,-6049.6579,52.068,151,1.556701030927835,15,25,0,,5429.7868,54,5.4297868
38,Si,14,7876.8099,127.0294,39128.4007,698.1468,-14918.5391,105.0195,22690.9168,105.0382,-39670.7477,706.7594,6754.3952,111.4524,24,1.7142857142857142,6,4,0,,5670.1051,10,5.6701051
248,Es,99,13662.0,104.0,8246.0,80.0,7160.0,50.0,-6649.0,191.0,-2479.0,53.0,-9445.0,188.0,149,1.505050505050505,17,23,0,,6351.0,50,6.351
184,Pt,78,17306.7021,19.7169,7301.3195,26.2724,4598.7954,8.0883,-10987.6993,17.555,-957.6976,51.9065,-15212.3169,17.498,106,1.358974358974359,-4,-20,0,,9630.6078,28,9.6306078
240,Np,93,11281.0047,17.0174,13155.7565,23.256,4557.358,22.0297,806.1193,21.9003,-8310.0,196.0,-4343.309,17.0163,147,1.5806451612903225,11,21,0,,5066.0939,54,5.0660939
187,Os,76,14555.7431,0.8982,12409.0861,0.8633,2721.7317,0.8702,-4533.6536,24.0786,-5999.384,1.1221,-10117.9828,16.542,111,1.4605263157894737,-6,-15,0,,6290.3015,35,6.2903015
121,La,57,23313.0,424.0,4463.0,300.0,1878.0,306.0,-20639.0,583.0,4409.0,300.0,-20532.0,583.0,64,1.1228070175438596,7,14,0,,12692.0,7,12.692
256,No,102,13042.9021,12.2006,7657.4176,7.6209,8581.5194,5.4519,-6398.9466,19.3453,-3266.3905,8.4147,-10195.5777,19.2409,154,1.5098039215686274,20,28,0,,7060.2061,52,7.0602061
186,W,74,12945.7856,1.1567,15587.0916,39.7157,1116.118,6.2789,491.4295,1.1887,-11477.7689,64.2845,-6760.8728,1.2382,112,1.5135135135135136,-8,-14,0,,7192.0492,38,7.1920492000000005
242,Am,95,12184.7321,13.7875,11426.1574,17.0161,5588.5003,0.2537,-2284.0,135.0,-6136.0729,100.0002,-6305.0745,1.1727,147,1.5473684210526315,13,21,0,,5537.64,52,5.537640000000001
167,Sm,62,7962.0,640.0,,,-3675.0,707.0,15446.0,500.0,,,3348.0,510.0,105,1.6935483870967742,12,-21,0,,2951.0,43,2.951
105,Cd,48,19824.8593,2.2837,11454.8114,1.6456,-1326.6206,4.7948,-10995.848,4.208,-2227.6976,1.9266,-16222.4929,5.9406,57,1.1875,-2,7,0,,8436.7762,9,8.4367762
86,Ru,44,,,178.0,499.0,-1825.0,565.0,,,10451.0,400.0,,,42,0.9545454545454546,-6,-8,0,,17211.0,-2,17.211
121,Ag,47,11899.7083,19.0474,26157.9709,15.2776,-7930.9884,15.025,11431.7621,29.9739,-23072.0,201.0,1483.2164,12.6697,74,1.574468085106383,-3,-8,0,,6822.6371,27,6.8226371
244,Pu,94,11053.4915,2.5277,13392.0,201.0,4665.6077,1.0159,1354.1857,2.4925,-9963.0,300.0,-5440.3026,2.6458,150,1.5957446808510638,12,24,0,,6019.8585,56,6.019858500000001
127,Pr,59,22616.0,358.0,5362.0,197.0,1683.0,277.0,-19233.0,445.0,3141.0,216.0,-19234.0,358.0,68,1.152542372881356,9,-14,0,,12291.0,9,12.291
150,Pm,61,12874.0951,20.7648,15639.8253,25.0361,651.2348,39.7634,1195.0338,20.9331,-9846.9336,22.3322,-4532.7556,20.0036,89,1.459016393442623,11,7,0,,5604.2492,28,5.6042492
159,Sm,62,11672.8319,7.3774,20291.6749,6.3065,-2348.9691,10.8896,6354.008,6.0135,-15661.6972,6.0753,-3008.7061,6.2715,97,1.564516129032258,12,15,0,,5027.3184,35,5.0273184
82,Mo,42,,,188.0,500.0,-1945.0,565.0,,,9865.0,410.0,,,40,0.9523809523809523,-8,-10,0,,16981.0,-2,16.981
206,Po,84,15990.259,10.8261,7656.7953,4.1267,5327.024,1.2972,-9055.7501,9.4698,-1707.4773,4.1264,-13275.4673,12.703,122,1.4523809523809523,2,-4,0,,8738.588,38,8.738588
185,Bi,83,,,226.0,82.0,8138.0,81.0,,,7359.0,82.0,,,102,1.2289156626506024,1,20,0,,11562.0,19,11.562
141,Pr,59,17328.5173,3.9159,13370.0947,1.5437,-1298.5841,2.2209,-5491.6016,14.0524,-8991.4452,1.5437,-9828.6052,3.5877,82,1.3898305084745763,9,0,1,,9399.6246,23,9.3996246
